date,network,daypart,viewers
201405,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1168
201405,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",275
201405,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",869
201405,A,"M,T,W,R,F 6:00 PM - 8:00 PM",290
201405,B,"M,T,W,R,F 6:00 PM - 8:00 PM",541
201405,C,"M,T,W,R,F 6:00 PM - 8:00 PM",726
201405,D,"M,T,W,R,F 6:00 PM - 8:00 PM",139
201405,E,"M,T,W,R,F 6:00 PM - 8:00 PM",458
201405,A,"M,T,W,R,F 4:00 PM - 6:00 PM",193
201405,B,"M,T,W,R,F 4:00 PM - 6:00 PM",370
201405,C,"M,T,W,R,F 4:00 PM - 6:00 PM",562
201405,D,"M,T,W,R,F 4:00 PM - 6:00 PM",103
201405,E,"M,T,W,R,F 4:00 PM - 6:00 PM",329
201405,A,"M,T,W,R,F 1:00 PM - 4:00 PM",176
201405,B,"M,T,W,R,F 1:00 PM - 4:00 PM",304
201405,C,"M,T,W,R,F 1:00 PM - 4:00 PM",481
201405,D,"M,T,W,R,F 1:00 PM - 4:00 PM",110
201405,E,"M,T,W,R,F 1:00 PM - 4:00 PM",261
201405,A,"M,T,W,R,F 10:00 AM - 1:00 PM",144
201405,B,"M,T,W,R,F 10:00 AM - 1:00 PM",302
201405,C,"M,T,W,R,F 10:00 AM - 1:00 PM",383
201405,D,"M,T,W,R,F 10:00 AM - 1:00 PM",157
201405,E,"M,T,W,R,F 10:00 AM - 1:00 PM",194
201405,A,"M,T,W,R,F 6:00 AM - 10:00 AM",130
201405,B,"M,T,W,R,F 6:00 AM - 10:00 AM",225
201405,C,"M,T,W,R,F 6:00 AM - 10:00 AM",197
201405,D,"M,T,W,R,F 6:00 AM - 10:00 AM",132
201405,E,"M,T,W,R,F 6:00 AM - 10:00 AM",127
201405,A,"S,Su 1:00 PM - 8:00 PM",339
201405,B,"S,Su 1:00 PM - 8:00 PM",540
201405,C,"S,Su 1:00 PM - 8:00 PM",1126
201405,D,"S,Su 1:00 PM - 8:00 PM",160
201405,E,"S,Su 1:00 PM - 8:00 PM",544
201406,A,"S,Su 8:00 AM - 1:00 PM",204
201406,B,"S,Su 8:00 AM - 1:00 PM",361
201406,C,"S,Su 8:00 AM - 1:00 PM",846
201406,D,"S,Su 8:00 AM - 1:00 PM",170
201406,E,"S,Su 8:00 AM - 1:00 PM",360
201406,A,"S,Su 1:00 PM - 8:00 PM",326
201406,B,"S,Su 1:00 PM - 8:00 PM",562
201406,C,"S,Su 1:00 PM - 8:00 PM",1156
201406,D,"S,Su 1:00 PM - 8:00 PM",213
